id,timestamp,length,recieved,completed
R292:36397.020140,0.097118,36397.721288,36397.741438,36397.838557
R293:36397.183983,0.051298,36397.889291,36397.838576,36397.889875
R294:36397.212989,0.043282,36397.889291,36397.889898,36397.933180
R295:36397.230672,0.041845,36397.889291,36397.933197,36397.975043
R296:36397.444413,0.227978,36398.195316,36397.975057,36398.203036
R297:36397.598496,0.040837,36398.195316,36398.203062,36398.243901
R298:36397.613018,0.096957,36398.288035,36398.243918,36398.340875
R299:36397.721259,0.019856,36398.288035,36398.340892,36398.360749
R300:36397.889249,0.220705,36398.539023,36398.360763,36398.581468
R301:36397.991687,0.034320,36398.539023,36398.581487,36398.615808
R302:36398.020507,0.053896,36398.624007,36398.615820,36398.669717
R303:36398.079293,0.014133,36398.683260,36398.669743,36398.683876
R304:36398.148843,0.029763,36398.685301,36398.683913,36398.713677
R305:36398.195288,0.165545,36398.751036,36398.713694,36398.879241
R306:36398.271087,0.062185,36398.920498,36398.879260,36398.941446
R307:36398.288004,0.007752,36398.920498,36398.941465,36398.949218
R308:36398.431281,0.014793,36398.920498,36398.949230,36398.964024
R309:36398.464703,0.059879,36398.968289,36398.964038,36399.023918
R310:36398.538997,0.060479,36399.053161,36399.023934,36399.084414
R311:36398.619637,0.054864,36399.053161,36399.084433,36399.139298
R312:36398.623986,0.018527,36399.053161,36399.139314,36399.157841
R313:36398.683230,0.028090,36399.053161,36399.157854,36399.185945
R314:36398.684614,0.171532,36399.205946,36399.185960,36399.357493
R315:36398.685280,0.098178,36399.416195,36399.357513,36399.455691
R316:36398.750997,0.180476,36399.625539,36399.455709,36399.636186
R317:36398.906879,0.039612,36399.625539,36399.636205,36399.675818
R318:36398.920475,0.105725,36399.768970,36399.675839,36399.781564
R319:36398.968265,0.224805,36399.967175,36399.781584,36400.006390
R320:36399.041059,0.023105,36399.967175,36400.006411,36400.029516
R321:36399.053135,0.030383,36399.967175,36400.029531,36400.059915
R322:36399.205921,0.091793,36399.967175,36400.059929,36400.151722
R323:36399.370004,0.021254,36399.967175,36400.151742,36400.172996
R324:36399.416159,0.008699,36400.176912,36400.173012,36400.181712
R325:36399.625511,0.065068,36400.233720,36400.181725,36400.246795
R326:36399.768927,0.172276,36400.410002,36400.246811,36400.419088
R327:36399.859534,0.022112,36400.410002,36400.419106,36400.441219
R328:36399.874084,0.015125,36400.410002,36400.441232,36400.456357
R329:36399.887165,0.012925,36400.410002,36400.456371,36400.469297
R330:36399.957453,0.017213,36400.478053,36400.469308,36400.486521
R331:36399.967144,0.000931,36400.478053,36400.486535,36400.487467
R332:36400.176876,0.008521,36400.478053,36400.487480,36400.496002
R333:36400.189421,0.069712,36400.554820,36400.496013,36400.565725
R334:36400.233694,0.007088,36400.554820,36400.565744,36400.572833
R335:36400.409975,0.004878,36400.574827,36400.572845,36400.577723
R336:36400.478029,0.045736,36400.574827,36400.577737,36400.623473
R337:36400.513791,0.023132,36400.637029,36400.623488,36400.646620
R338:36400.554793,0.162324,36400.807294,36400.646634,36400.808959
R339:36400.574797,0.014106,36400.807294,36400.808986,36400.823093
R340:36400.634461,0.037691,36400.807294,36400.823107,36400.860799
R341:36400.636999,0.093328,36400.893257,36400.860818,36400.954146
R342:36400.757120,0.413311,36401.270068,36400.954164,36401.367477
R343:36400.788616,0.049426,36401.270068,36401.367524,36401.416951
R344:36400.791227,0.072273,36401.437610,36401.416968,36401.489242
R345:36400.807263,0.026462,36401.437610,36401.489258,36401.515720
R346:36400.893224,0.069365,36401.537350,36401.515740,36401.585106
R347:36401.050484,0.003431,36401.537350,36401.585124,36401.588556
R348:36401.080346,0.108415,36401.655763,36401.588568,36401.696984
R349:36401.184321,0.076364,36401.747325,36401.697004,36401.773369
R350:36401.270033,0.025022,36401.747325,36401.773389,36401.798412
R351:36401.437576,0.023582,36401.810877,36401.798427,36401.822009
R352:36401.537325,0.013971,36401.810877,36401.822024,36401.835996
R353:36401.655728,0.003661,36401.810877,36401.836010,36401.839672
R354:36401.719631,0.011408,36401.810877,36401.839685,36401.851094
R355:36401.727294,0.009759,36401.810877,36401.851107,36401.860866
